Solution,AEP_Liquido_MWh,Custo_USD,File
1,395674.84,255934.79,pareto_front_results/solution_1_coords.txt
2,395598.44,255305.56,pareto_front_results/solution_2_coords.txt
3,395411.27,254672.15,pareto_front_results/solution_3_coords.txt
4,395411.27,254672.15,pareto_front_results/solution_4_coords.txt
5,395411.27,254672.15,pareto_front_results/solution_5_coords.txt
6,395411.27,254672.15,pareto_front_results/solution_6_coords.txt
7,395346.70,253558.78,pareto_front_results/solution_7_coords.txt
8,395136.49,252793.30,pareto_front_results/solution_8_coords.txt
9,395053.97,252768.07,pareto_front_results/solution_9_coords.txt
10,394983.67,251578.58,pareto_front_results/solution_10_coords.txt
11,394850.83,251400.66,pareto_front_results/solution_11_coords.txt
12,394801.17,251318.07,pareto_front_results/solution_12_coords.txt
13,394722.36,250273.64,pareto_front_results/solution_13_coords.txt
14,394574.04,250259.80,pareto_front_results/solution_14_coords.txt
15,394532.34,250171.65,pareto_front_results/solution_15_coords.txt
16,394462.54,250040.46,pareto_front_results/solution_16_coords.txt
17,394417.87,249988.95,pareto_front_results/solution_17_coords.txt
18,394412.34,249733.54,pareto_front_results/solution_18_coords.txt
19,394350.39,249440.91,pareto_front_results/solution_19_coords.txt
20,394321.46,249360.30,pareto_front_results/solution_20_coords.txt
21,394162.87,249335.07,pareto_front_results/solution_21_coords.txt
22,394068.46,249149.28,pareto_front_results/solution_22_coords.txt
23,393953.59,248937.14,pareto_front_results/solution_23_coords.txt
24,393946.61,248924.99,pareto_front_results/solution_24_coords.txt
25,393926.46,248543.34,pareto_front_results/solution_25_coords.txt
26,393813.13,248216.96,pareto_front_results/solution_26_coords.txt
27,393732.78,248144.37,pareto_front_results/solution_27_coords.txt
28,393683.40,247970.19,pareto_front_results/solution_28_coords.txt
29,393660.56,247821.37,pareto_front_results/solution_29_coords.txt
30,393576.20,247390.78,pareto_front_results/solution_30_coords.txt
31,393347.16,247249.67,pareto_front_results/solution_31_coords.txt
32,393318.17,247102.15,pareto_front_results/solution_32_coords.txt
33,393050.45,246738.63,pareto_front_results/solution_33_coords.txt
34,392895.60,246285.26,pareto_front_results/solution_34_coords.txt
35,392786.06,245875.25,pareto_front_results/solution_35_coords.txt
36,392777.48,245830.39,pareto_front_results/solution_36_coords.txt
37,392679.34,245657.18,pareto_front_results/solution_37_coords.txt
38,392519.74,244747.93,pareto_front_results/solution_38_coords.txt
39,392368.29,244687.57,pareto_front_results/solution_39_coords.txt
40,392360.81,244649.93,pareto_front_results/solution_40_coords.txt
41,392303.75,244324.49,pareto_front_results/solution_41_coords.txt
42,392219.65,244300.94,pareto_front_results/solution_42_coords.txt
43,392193.28,244202.82,pareto_front_results/solution_43_coords.txt
44,392062.98,244160.04,pareto_front_results/solution_44_coords.txt
45,392015.00,244047.92,pareto_front_results/solution_45_coords.txt
46,391919.94,244012.36,pareto_front_results/solution_46_coords.txt
47,391877.32,243837.39,pareto_front_results/solution_47_coords.txt
48,391738.82,243597.24,pareto_front_results/solution_48_coords.txt
49,391642.10,243241.10,pareto_front_results/solution_49_coords.txt
50,391493.62,242806.71,pareto_front_results/solution_50_coords.txt
51,391316.47,242273.94,pareto_front_results/solution_51_coords.txt
52,391202.59,240727.26,pareto_front_results/solution_52_coords.txt
53,390958.27,240015.71,pareto_front_results/solution_53_coords.txt
54,390748.58,239761.96,pareto_front_results/solution_54_coords.txt
55,390682.37,239359.53,pareto_front_results/solution_55_coords.txt
56,390544.79,239015.19,pareto_front_results/solution_56_coords.txt
57,390329.58,238733.73,pareto_front_results/solution_57_coords.txt
58,390291.35,238658.62,pareto_front_results/solution_58_coords.txt
59,390239.03,238550.24,pareto_front_results/solution_59_coords.txt
60,390204.29,238304.34,pareto_front_results/solution_60_coords.txt
61,390101.91,238233.33,pareto_front_results/solution_61_coords.txt
62,389974.45,238203.20,pareto_front_results/solution_62_coords.txt
63,389952.77,237401.31,pareto_front_results/solution_63_coords.txt
64,389333.24,237374.52,pareto_front_results/solution_64_coords.txt
65,389330.63,237230.15,pareto_front_results/solution_65_coords.txt
66,389299.49,237174.73,pareto_front_results/solution_66_coords.txt
67,389291.69,237025.57,pareto_front_results/solution_67_coords.txt
68,389267.59,236545.05,pareto_front_results/solution_68_coords.txt
69,389258.08,236529.28,pareto_front_results/solution_69_coords.txt
70,389223.80,236449.89,pareto_front_results/solution_70_coords.txt
71,389139.80,236254.65,pareto_front_results/solution_71_coords.txt
72,389100.33,236195.51,pareto_front_results/solution_72_coords.txt
73,388932.94,235969.75,pareto_front_results/solution_73_coords.txt
74,388855.01,235910.83,pareto_front_results/solution_74_coords.txt
75,388829.22,235673.37,pareto_front_results/solution_75_coords.txt
76,388782.43,235510.34,pareto_front_results/solution_76_coords.txt
77,388655.35,235483.36,pareto_front_results/solution_77_coords.txt
78,388655.35,235483.36,pareto_front_results/solution_78_coords.txt
79,388655.35,235483.36,pareto_front_results/solution_79_coords.txt
80,388655.35,235483.36,pareto_front_results/solution_80_coords.txt
81,388623.35,235294.90,pareto_front_results/solution_81_coords.txt
82,388582.33,235259.97,pareto_front_results/solution_82_coords.txt
83,388558.90,235172.57,pareto_front_results/solution_83_coords.txt
84,388480.67,235101.26,pareto_front_results/solution_84_coords.txt
85,388459.31,235083.39,pareto_front_results/solution_85_coords.txt
86,388426.54,235000.95,pareto_front_results/solution_86_coords.txt
87,388384.18,234971.32,pareto_front_results/solution_87_coords.txt
88,388345.37,234936.26,pareto_front_results/solution_88_coords.txt
89,388328.26,234901.92,pareto_front_results/solution_89_coords.txt
90,388305.31,234758.73,pareto_front_results/solution_90_coords.txt
91,388269.51,234734.55,pareto_front_results/solution_91_coords.txt
92,388259.39,234724.19,pareto_front_results/solution_92_coords.txt
93,388243.71,234614.91,pareto_front_results/solution_93_coords.txt
94,388206.97,234553.43,pareto_front_results/solution_94_coords.txt
95,388147.59,234547.76,pareto_front_results/solution_95_coords.txt
96,388147.59,234547.76,pareto_front_results/solution_96_coords.txt
97,388124.39,234538.34,pareto_front_results/solution_97_coords.txt
98,388121.25,234474.66,pareto_front_results/solution_98_coords.txt
99,388090.10,234420.54,pareto_front_results/solution_99_coords.txt
100,388031.76,234278.36,pareto_front_results/solution_100_coords.txt
101,387965.16,234271.38,pareto_front_results/solution_101_coords.txt
102,387956.24,234197.33,pareto_front_results/solution_102_coords.txt
103,387928.96,234042.14,pareto_front_results/solution_103_coords.txt
104,387853.74,233778.48,pareto_front_results/solution_104_coords.txt
105,387677.18,233695.36,pareto_front_results/solution_105_coords.txt
106,387644.53,233674.95,pareto_front_results/solution_106_coords.txt
107,387591.52,233534.69,pareto_front_results/solution_107_coords.txt
108,387513.52,233490.59,pareto_front_results/solution_108_coords.txt
109,387495.40,233427.77,pareto_front_results/solution_109_coords.txt
110,387465.94,233364.65,pareto_front_results/solution_110_coords.txt
111,387284.60,233193.30,pareto_front_results/solution_111_coords.txt
112,387284.60,233193.30,pareto_front_results/solution_112_coords.txt
113,387244.95,232941.56,pareto_front_results/solution_113_coords.txt
114,386998.38,232874.57,pareto_front_results/solution_114_coords.txt
115,386788.08,232521.90,pareto_front_results/solution_115_coords.txt
116,386755.42,229413.21,pareto_front_results/solution_116_coords.txt
117,386588.48,228707.64,pareto_front_results/solution_117_coords.txt
118,386513.49,228561.83,pareto_front_results/solution_118_coords.txt
119,386504.38,228552.30,pareto_front_results/solution_119_coords.txt
120,386482.71,228526.14,pareto_front_results/solution_120_coords.txt
121,386475.17,228416.36,pareto_front_results/solution_121_coords.txt
122,386423.44,228393.65,pareto_front_results/solution_122_coords.txt
123,386400.32,228337.81,pareto_front_results/solution_123_coords.txt
124,386370.88,228295.42,pareto_front_results/solution_124_coords.txt
125,386358.27,228289.28,pareto_front_results/solution_125_coords.txt
126,386349.28,228246.49,pareto_front_results/solution_126_coords.txt
127,386328.45,228143.98,pareto_front_results/solution_127_coords.txt
128,386298.99,228113.62,pareto_front_results/solution_128_coords.txt
129,386296.26,227994.28,pareto_front_results/solution_129_coords.txt
130,386262.67,227983.20,pareto_front_results/solution_130_coords.txt
131,386241.53,227906.79,pareto_front_results/solution_131_coords.txt
132,386233.20,227903.26,pareto_front_results/solution_132_coords.txt
133,386227.85,227879.10,pareto_front_results/solution_133_coords.txt
134,386207.15,227869.04,pareto_front_results/solution_134_coords.txt
135,386204.71,227834.99,pareto_front_results/solution_135_coords.txt
136,386193.14,227811.26,pareto_front_results/solution_136_coords.txt
137,386184.44,227720.88,pareto_front_results/solution_137_coords.txt
138,386165.54,227629.61,pareto_front_results/solution_138_coords.txt
139,386135.17,227617.00,pareto_front_results/solution_139_coords.txt
140,386118.58,227564.20,pareto_front_results/solution_140_coords.txt
141,386113.52,227544.05,pareto_front_results/solution_141_coords.txt
142,386086.12,227488.07,pareto_front_results/solution_142_coords.txt
143,386051.91,227386.51,pareto_front_results/solution_143_coords.txt
144,386021.09,227377.00,pareto_front_results/solution_144_coords.txt
145,385996.37,227364.30,pareto_front_results/solution_145_coords.txt
146,385983.81,227326.28,pareto_front_results/solution_146_coords.txt
147,385970.26,227265.11,pareto_front_results/solution_147_coords.txt
148,385952.08,227249.09,pareto_front_results/solution_148_coords.txt
149,385934.34,227221.52,pareto_front_results/solution_149_coords.txt
150,385928.91,227165.40,pareto_front_results/solution_150_coords.txt
151,385888.05,227097.07,pareto_front_results/solution_151_coords.txt
152,385873.17,227090.25,pareto_front_results/solution_152_coords.txt
153,385818.54,227050.63,pareto_front_results/solution_153_coords.txt
154,385805.49,227030.77,pareto_front_results/solution_154_coords.txt
155,385805.49,227030.77,pareto_front_results/solution_155_coords.txt
156,385800.06,226928.00,pareto_front_results/solution_156_coords.txt
157,385753.67,226887.54,pareto_front_results/solution_157_coords.txt
158,385751.59,226779.37,pareto_front_results/solution_158_coords.txt
159,385659.72,226710.26,pareto_front_results/solution_159_coords.txt
160,385625.63,226606.95,pareto_front_results/solution_160_coords.txt
161,385602.33,226540.64,pareto_front_results/solution_161_coords.txt
162,385598.24,226519.55,pareto_front_results/solution_162_coords.txt
163,385492.16,226515.79,pareto_front_results/solution_163_coords.txt
164,385482.32,226408.79,pareto_front_results/solution_164_coords.txt
165,385424.83,226397.05,pareto_front_results/solution_165_coords.txt
166,385400.75,226388.72,pareto_front_results/solution_166_coords.txt
167,385382.21,226323.81,pareto_front_results/solution_167_coords.txt
168,385346.73,226321.80,pareto_front_results/solution_168_coords.txt
169,385328.52,226247.76,pareto_front_results/solution_169_coords.txt
170,385328.52,226247.76,pareto_front_results/solution_170_coords.txt
171,385309.76,226207.41,pareto_front_results/solution_171_coords.txt
172,385264.25,226199.26,pareto_front_results/solution_172_coords.txt
173,385254.31,226173.50,pareto_front_results/solution_173_coords.txt
174,385215.51,226093.63,pareto_front_results/solution_174_coords.txt
175,385167.43,226043.33,pareto_front_results/solution_175_coords.txt
176,385145.69,223339.45,pareto_front_results/solution_176_coords.txt
177,385145.69,223339.45,pareto_front_results/solution_177_coords.txt
178,384711.94,217255.87,pareto_front_results/solution_178_coords.txt
179,384685.60,216976.53,pareto_front_results/solution_179_coords.txt
180,384595.76,216943.32,pareto_front_results/solution_180_coords.txt
181,384520.98,216741.09,pareto_front_results/solution_181_coords.txt
182,384477.33,216692.17,pareto_front_results/solution_182_coords.txt
183,384448.87,216454.98,pareto_front_results/solution_183_coords.txt
184,384315.41,216453.34,pareto_front_results/solution_184_coords.txt
185,384190.83,216411.24,pareto_front_results/solution_185_coords.txt
186,384163.74,216401.34,pareto_front_results/solution_186_coords.txt
187,384163.74,216401.34,pareto_front_results/solution_187_coords.txt
188,384163.74,216401.34,pareto_front_results/solution_188_coords.txt
189,384091.83,216203.22,pareto_front_results/solution_189_coords.txt
190,384061.89,215974.00,pareto_front_results/solution_190_coords.txt
191,384035.14,215925.61,pareto_front_results/solution_191_coords.txt
192,384018.66,215805.78,pareto_front_results/solution_192_coords.txt
193,383851.33,215762.71,pareto_front_results/solution_193_coords.txt
194,383819.43,215472.81,pareto_front_results/solution_194_coords.txt
195,383805.26,215279.39,pareto_front_results/solution_195_coords.txt
196,383645.50,215245.05,pareto_front_results/solution_196_coords.txt
197,383530.08,214874.26,pareto_front_results/solution_197_coords.txt
198,383495.91,214857.92,pareto_front_results/solution_198_coords.txt
199,383452.20,214729.40,pareto_front_results/solution_199_coords.txt
200,383395.80,214676.07,pareto_front_results/solution_200_coords.txt
201,383260.99,214563.11,pareto_front_results/solution_201_coords.txt
202,383242.32,214550.94,pareto_front_results/solution_202_coords.txt
203,383130.44,214500.46,pareto_front_results/solution_203_coords.txt
204,383082.06,214187.09,pareto_front_results/solution_204_coords.txt
205,383007.25,213930.77,pareto_front_results/solution_205_coords.txt
206,382980.41,213895.70,pareto_front_results/solution_206_coords.txt
207,382678.07,213868.75,pareto_front_results/solution_207_coords.txt
208,382677.48,213707.72,pareto_front_results/solution_208_coords.txt
209,382429.11,213396.75,pareto_front_results/solution_209_coords.txt
210,382204.43,213159.90,pareto_front_results/solution_210_coords.txt
211,382017.48,212860.73,pareto_front_results/solution_211_coords.txt
212,381941.02,212789.25,pareto_front_results/solution_212_coords.txt
213,381844.81,212639.68,pareto_front_results/solution_213_coords.txt
214,381824.44,212618.20,pareto_front_results/solution_214_coords.txt
215,381806.85,212531.65,pareto_front_results/solution_215_coords.txt
216,381601.39,212145.72,pareto_front_results/solution_216_coords.txt
217,381428.54,212042.26,pareto_front_results/solution_217_coords.txt
218,381289.90,211975.42,pareto_front_results/solution_218_coords.txt
219,381281.12,211772.23,pareto_front_results/solution_219_coords.txt
220,381234.64,211666.32,pareto_front_results/solution_220_coords.txt
221,381036.39,211607.66,pareto_front_results/solution_221_coords.txt
222,380957.02,211402.10,pareto_front_results/solution_222_coords.txt
223,380938.30,211326.49,pareto_front_results/solution_223_coords.txt
224,380841.64,211069.04,pareto_front_results/solution_224_coords.txt
225,380282.05,210907.09,pareto_front_results/solution_225_coords.txt
226,380278.41,210853.72,pareto_front_results/solution_226_coords.txt
227,380278.41,210853.72,pareto_front_results/solution_227_coords.txt
228,380229.33,210728.78,pareto_front_results/solution_228_coords.txt
229,379862.50,210695.64,pareto_front_results/solution_229_coords.txt
230,379822.45,210679.59,pareto_front_results/solution_230_coords.txt
231,379784.97,210482.91,pareto_front_results/solution_231_coords.txt
232,379431.68,209561.00,pareto_front_results/solution_232_coords.txt
233,378830.44,209416.17,pareto_front_results/solution_233_coords.txt
234,378603.35,209162.97,pareto_front_results/solution_234_coords.txt
235,378195.23,209141.94,pareto_front_results/solution_235_coords.txt
236,378117.20,208973.14,pareto_front_results/solution_236_coords.txt
237,377925.54,208845.18,pareto_front_results/solution_237_coords.txt
238,377775.63,208841.23,pareto_front_results/solution_238_coords.txt
239,377640.53,208523.17,pareto_front_results/solution_239_coords.txt
240,377365.20,208476.26,pareto_front_results/solution_240_coords.txt
241,377365.20,208476.26,pareto_front_results/solution_241_coords.txt
242,377306.22,208383.28,pareto_front_results/solution_242_coords.txt
243,377208.80,207670.54,pareto_front_results/solution_243_coords.txt
244,376752.38,205579.16,pareto_front_results/solution_244_coords.txt
245,376398.07,205565.94,pareto_front_results/solution_245_coords.txt
246,376272.49,205472.07,pareto_front_results/solution_246_coords.txt
247,376174.50,204965.21,pareto_front_results/solution_247_coords.txt
248,375915.41,204372.54,pareto_front_results/solution_248_coords.txt
249,375681.53,204117.86,pareto_front_results/solution_249_coords.txt
250,375635.67,203281.69,pareto_front_results/solution_250_coords.txt
251,375124.30,203243.67,pareto_front_results/solution_251_coords.txt
252,375078.55,203206.18,pareto_front_results/solution_252_coords.txt
253,375063.77,202670.77,pareto_front_results/solution_253_coords.txt
254,374765.42,202640.98,pareto_front_results/solution_254_coords.txt
255,374763.26,202578.07,pareto_front_results/solution_255_coords.txt
256,374661.73,202405.52,pareto_front_results/solution_256_coords.txt
257,374635.38,201993.56,pareto_front_results/solution_257_coords.txt
258,374421.38,201801.39,pareto_front_results/solution_258_coords.txt
259,374269.11,201632.35,pareto_front_results/solution_259_coords.txt
260,374142.19,201365.58,pareto_front_results/solution_260_coords.txt
261,373803.15,201358.51,pareto_front_results/solution_261_coords.txt
262,373612.21,201301.15,pareto_front_results/solution_262_coords.txt
263,373507.34,201063.96,pareto_front_results/solution_263_coords.txt
264,373405.57,200826.45,pareto_front_results/solution_264_coords.txt
265,373319.28,200557.31,pareto_front_results/solution_265_coords.txt
266,373214.78,200208.45,pareto_front_results/solution_266_coords.txt
267,372755.82,199801.55,pareto_front_results/solution_267_coords.txt
268,372225.60,199629.11,pareto_front_results/solution_268_coords.txt
269,371980.30,199406.40,pareto_front_results/solution_269_coords.txt
270,371955.52,199224.81,pareto_front_results/solution_270_coords.txt
271,371707.04,199185.09,pareto_front_results/solution_271_coords.txt
272,371640.93,199131.34,pareto_front_results/solution_272_coords.txt
273,371600.80,198955.14,pareto_front_results/solution_273_coords.txt
274,371596.07,198904.15,pareto_front_results/solution_274_coords.txt
275,371518.84,198778.07,pareto_front_results/solution_275_coords.txt
276,371505.50,198761.97,pareto_front_results/solution_276_coords.txt
277,371459.78,198754.15,pareto_front_results/solution_277_coords.txt
278,371410.83,198575.77,pareto_front_results/solution_278_coords.txt
279,371267.56,198559.80,pareto_front_results/solution_279_coords.txt
280,371221.91,198457.63,pareto_front_results/solution_280_coords.txt
281,371105.76,197200.08,pareto_front_results/solution_281_coords.txt
282,370811.05,196994.32,pareto_front_results/solution_282_coords.txt
283,370719.92,196926.85,pareto_front_results/solution_283_coords.txt
284,370676.98,196836.44,pareto_front_results/solution_284_coords.txt
285,370676.98,196836.44,pareto_front_results/solution_285_coords.txt
286,370676.98,196836.44,pareto_front_results/solution_286_coords.txt
287,370674.94,196711.03,pareto_front_results/solution_287_coords.txt
288,370596.38,196406.24,pareto_front_results/solution_288_coords.txt
289,370565.20,195832.84,pareto_front_results/solution_289_coords.txt
290,370352.66,195106.50,pareto_front_results/solution_290_coords.txt
291,370162.34,194971.10,pareto_front_results/solution_291_coords.txt
292,369980.71,194861.75,pareto_front_results/solution_292_coords.txt
293,369973.77,194223.06,pareto_front_results/solution_293_coords.txt
294,369728.76,193966.45,pareto_front_results/solution_294_coords.txt
295,369278.08,193809.57,pareto_front_results/solution_295_coords.txt
296,369125.04,193448.48,pareto_front_results/solution_296_coords.txt
297,369034.17,193074.08,pareto_front_results/solution_297_coords.txt
298,368975.33,192941.31,pareto_front_results/solution_298_coords.txt
299,368726.09,192835.38,pareto_front_results/solution_299_coords.txt
300,368606.98,192690.48,pareto_front_results/solution_300_coords.txt
301,368504.72,192451.49,pareto_front_results/solution_301_coords.txt
302,368315.11,192265.70,pareto_front_results/solution_302_coords.txt
303,368197.55,192105.36,pareto_front_results/solution_303_coords.txt
304,368133.71,192011.03,pareto_front_results/solution_304_coords.txt
305,367952.94,191732.21,pareto_front_results/solution_305_coords.txt
306,367915.81,191574.85,pareto_front_results/solution_306_coords.txt
307,367558.56,191502.01,pareto_front_results/solution_307_coords.txt
308,367555.08,191127.18,pareto_front_results/solution_308_coords.txt
309,367268.47,190148.90,pareto_front_results/solution_309_coords.txt
310,367009.87,189909.26,pareto_front_results/solution_310_coords.txt
311,366881.20,189607.29,pareto_front_results/solution_311_coords.txt
312,366695.74,189318.55,pareto_front_results/solution_312_coords.txt
313,366589.67,188938.59,pareto_front_results/solution_313_coords.txt
314,366342.90,188628.22,pareto_front_results/solution_314_coords.txt
315,366033.32,188065.03,pareto_front_results/solution_315_coords.txt
316,365921.23,187754.13,pareto_front_results/solution_316_coords.txt
317,365450.04,187749.19,pareto_front_results/solution_317_coords.txt
318,362520.32,187500.64,pareto_front_results/solution_318_coords.txt
